City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
291,Camargo,MX,27.6667,-105.1667,55.99,42,2,7.61,clear sky
292,Quatre Cocos,MU,-20.2078,57.7625,82.09,64,20,14.81,few clouds
293,Nieuw Amsterdam,SR,5.8833,-55.0833,77.16,89,100,8.05,overcast clouds
294,The Pas,CA,53.8251,-101.2541,14.02,85,75,4.61,broken clouds
295,Krylovskaya,RU,46.3194,39.9711,31.91,84,66,14.81,broken clouds
296,La Ronge,CA,55.1001,-105.2842,8.85,92,75,2.3,broken clouds
297,Hefei,CN,31.8639,117.2808,48.52,80,100,6.69,overcast clouds
298,Verkh-Usugli,RU,52.7,115.1667,-0.24,75,43,3.0,scattered clouds
299,Ponca City,US,36.707,-97.0856,37.36,51,1,5.75,clear sky
300,Lincoln,US,40.8,-96.667,35.04,57,1,3.0,clear sky
301,Kuala Terengganu,MY,5.3302,103.1408,81.0,77,54,8.7,broken clouds
302,Vardo,NO,70.3705,31.1107,28.11,85,100,16.89,overcast clouds
303,Emba,KZ,48.8264,58.1442,15.01,83,41,18.3,scattered clouds
304,Aripuana,BR,-9.1667,-60.6333,73.62,99,94,1.63,overcast clouds
305,Entre Rios,BR,-11.9419,-38.0844,69.6,98,8,2.15,clear sky
306,Turukhansk,RU,65.8167,87.9833,-16.28,91,72,6.42,broken clouds
307,Provideniya,RU,64.3833,-173.3,-8.63,79,0,7.87,clear sky
308,Bayan,CN,46.0833,127.4,12.58,83,99,16.4,overcast clouds
309,Amahai,ID,-3.3333,128.9167,88.47,61,26,7.94,scattered clouds
310,Sosnovo-Ozerskoye,RU,52.5249,111.5418,4.21,83,100,10.09,overcast clouds
311,Coquimbo,CL,-29.9533,-71.3436,58.73,88,0,3.44,clear sky
312,Burnie,AU,-41.0667,145.9167,64.92,54,4,11.86,clear sky
313,Moa,CU,20.6569,-74.9403,78.49,80,41,12.62,scattered clouds
314,Misratah,LY,32.3754,15.0925,57.94,51,76,20.0,broken clouds
315,Kavaratti,IN,10.5669,72.642,82.06,71,69,9.15,broken clouds
316,Vanino,RU,49.0869,140.2543,24.69,92,100,3.6,overcast clouds
317,Stykkisholmur,IS,65.0757,-22.7297,37.35,94,95,12.64,overcast clouds
318,Tura,IN,25.5198,90.2201,70.95,36,0,1.14,clear sky
319,Tateyama,JP,34.9833,139.8667,64.67,62,8,24.49,clear sky
320,Garoua,CM,9.3,13.4,71.01,24,80,1.77,broken clouds
321,Eureka,US,40.8021,-124.1637,48.63,83,100,8.99,moderate rain
322,San Patricio,US,28.017,-97.5169,57.06,37,72,10.45,broken clouds
323,Tongliao,CN,43.6125,122.2653,16.21,68,0,17.29,clear sky
324,Bellmead,US,31.594,-97.1089,41.56,72,1,0.0,clear sky
325,Rabo De Peixe,PT,37.8,-25.5833,64.27,95,40,16.11,scattered clouds
326,Kampot,KH,10.6167,104.1833,86.05,62,44,15.7,scattered clouds
327,Pailon,BO,-17.65,-62.75,76.1,97,100,5.64,moderate rain
